# KE:   0.23 MeV, L:  2 
# V0: -40.51 MeV, R0:   7.56 fm, a0:   0.71 fm
# start: 0.00010 fm, dr:0.100, end:  200.00010 fm, nStep: 2000 
#           r          Pot  (Pot+Cent.)            u        du/dr            R        dR/dr           KE
#----------
    24.200100    -0.000000     0.212292  1579.887838   -40.159976    65.555240    -4.386505     0.230000
    24.300100    -0.000000     0.210548  1575.864874   -40.301471    65.118114    -4.356163     0.230000
    24.400100    -0.000000     0.208826  1571.827118   -40.455767    64.683977    -4.326721     0.230000
    24.500100    -0.000000     0.207124  1567.773301   -40.622634    64.252741    -4.298153     0.230000
    24.600100    -0.000000     0.205444  1563.702179   -40.801845    63.824318    -4.270438     0.230000
    24.700100    -0.000000     0.203784  1559.612528   -40.993177    63.398626    -4.243552     0.230000
    24.800100    -0.000000     0.202144  1555.503147   -41.196411    62.975581    -4.217472     0.230000
    24.900100    -0.000000     0.200523  1551.372857   -41.411328    62.555105    -4.192178     0.230000
    25.000100    -0.000000     0.198922  1547.220499   -41.637715    62.137120    -4.167647     0.230000
    25.100100    -0.000000     0.197341  1543.044938   -41.875361    61.721551    -4.143860     0.230000
    25.200100    -0.000000     0.195777  1538.845059   -42.124055    61.308324    -4.120796     0.230000
    25.300100    -0.000000     0.194233  1534.619766   -42.383594    60.897368    -4.098435     0.230000
    25.400100    -0.000000     0.192706  1530.367985   -42.653772    60.488614    -4.076758     0.230000
    25.500100    -0.000000     0.191198  1526.088663   -42.934390    60.081994    -4.055747     0.230000
    25.600100    -0.000000     0.189707  1521.780766   -43.225248    59.677443    -4.035384     0.230000
    25.700100    -0.000000     0.188234  1517.443279   -43.526150    59.274897    -4.015650     0.230000
    25.800100    -0.000000     0.186777  1513.075208   -43.836902    58.874293    -3.996529     0.230000
    25.900100    -0.000000     0.185338  1508.675577   -44.157313    58.475571    -3.978003     0.230000
    26.000100    -0.000000     0.183915  1504.243430   -44.487192    58.078673    -3.960057     0.230000
