 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 MeV   2.743E-01  7.934E-05    1.81 m     75.22 mm    24.72 mm  
 900.00 MeV   2.594E-01  7.109E-05    2.18 m     92.16 mm    29.40 mm  
   1.00 GeV   2.477E-01  6.443E-05    2.58 m    107.87 mm    34.21 mm  
   1.10 GeV   2.381E-01  5.895E-05    2.99 m    122.73 mm    39.12 mm  
   1.20 GeV   2.303E-01  5.435E-05    3.42 m    136.93 mm    44.12 mm  
   1.30 GeV   2.238E-01  5.043E-05    3.86 m    150.59 mm    49.16 mm  
   1.40 GeV   2.183E-01  4.706E-05    4.31 m    163.78 mm    54.25 mm  
   1.50 GeV   2.136E-01  4.412E-05    4.77 m    176.55 mm    59.36 mm  
   1.60 GeV   2.095E-01  4.154E-05    5.25 m    188.94 mm    64.48 mm  
   1.70 GeV   2.060E-01  3.925E-05    5.73 m    200.99 mm    69.60 mm  
   1.80 GeV   2.030E-01  3.720E-05    6.22 m    212.72 mm    74.71 mm  
   2.00 GeV   1.980E-01  3.371E-05    7.21 m    255.52 mm    84.89 mm  
   2.25 GeV   1.933E-01  3.019E-05    8.49 m    313.27 mm    97.48 mm  
   2.50 GeV   1.898E-01  2.735E-05    9.79 m    363.88 mm   109.86 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0573E-02                 eV / (1E15 atoms/cm2)
  2.4040E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
