 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 3.015 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 GeV   2.750E-01  8.119E-05    2.71 m    110.73 mm    30.33 mm  
   1.30 GeV   2.646E-01  7.535E-05    3.08 m    122.63 mm    34.14 mm  
   1.40 GeV   2.558E-01  7.031E-05    3.46 m    134.26 mm    38.03 mm  
   1.50 GeV   2.482E-01  6.592E-05    3.86 m    145.64 mm    41.99 mm  
   1.60 GeV   2.416E-01  6.206E-05    4.27 m    156.79 mm    46.00 mm  
   1.70 GeV   2.358E-01  5.864E-05    4.69 m    167.74 mm    50.06 mm  
   1.80 GeV   2.307E-01  5.559E-05    5.11 m    178.49 mm    54.16 mm  
   2.00 GeV   2.222E-01  5.038E-05    6.00 m    218.09 mm    62.45 mm  
   2.25 GeV   2.139E-01  4.512E-05    7.14 m    272.05 mm    72.91 mm  
   2.50 GeV   2.074E-01  4.088E-05    8.33 m    319.92 mm    83.41 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0573E-02                 eV / (1E15 atoms/cm2)
  1.8257E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
