#94Ru(d,p)95Ru(5/2+ 0.000) ELAB= 16.800
#94Ru(d,p)95Ru(5/2+ 1.648) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 0.788) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 2.246) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 3.288) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 0.942) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 1.331) ELAB= 16.800
#94Ru(d,p)95Ru(11/2- 2.450) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.141) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.740) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 2.220) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 3.288) ELAB= 16.800
   Angel	  Ex=0.000(1d5/2)AK  Ex=1.648(1d5/2)AK  Ex=0.788(2s1/2)AK  Ex=2.246(2s1/2)AK  Ex=3.288(2s1/2)AK  Ex=0.942(0g7/2)AK  Ex=1.331(0g7/2)AK Ex=2.450(0h11/2)AK  Ex=1.141(1d3/2)AK  Ex=1.740(1d3/2)AK  Ex=2.220(1d3/2)AK  Ex=3.288(1d3/2)AK
  26.200	           9.330000          10.582000           3.946500           4.915700           5.462400           1.469000           1.524200           0.812920           6.798700           7.158000           7.478800           8.327600
  26.400	           9.103000          10.329000           4.039100           5.024200           5.577700           1.485000           1.540200           0.825450           6.635900           6.988600           7.304100           8.141700
  26.600	           8.876400          10.078000           4.127800           5.128200           5.688300           1.501000           1.556200           0.838180           6.473400           6.819500           7.129900           7.956500
  26.800	           8.650300           9.827000           4.212700           5.227500           5.794300           1.516900           1.572100           0.851120           6.311400           6.651100           6.956400           7.772300
  27.000	           8.425300           9.577700           4.293700           5.322200           5.895400           1.532600           1.587900           0.864250           6.150200           6.483500           6.783900           7.589300
  27.200	           8.201800           9.330300           4.370800           5.412200           5.991700           1.548200           1.603500           0.877580           5.990000           6.317200           6.612700           7.407800
  27.400	           7.979900           9.085000           4.444000           5.497400           6.083100           1.563600           1.618800           0.891090           5.831100           6.152200           6.443000           7.228100
  27.600	           7.760200           8.842300           4.513100           5.577900           6.169600           1.578700           1.634000           0.904780           5.673700           5.988900           6.275100           7.050400
  27.800	           7.543000           8.602600           4.578400           5.653600           6.251100           1.593700           1.648900           0.918660           5.518100           5.827500           6.109200           6.874900
  28.000	           7.328400           8.366100           4.639700           5.724600           6.327700           1.608400           1.663600           0.932700           5.364500           5.668200           5.945500           6.702000
  28.200	           7.117000           8.133100           4.697100           5.790800           6.399400           1.622700           1.678000           0.946910           5.213000           5.511300           5.784200           6.531700
  28.400	           6.908900           7.904100           4.750600           5.852400           6.466100           1.636800           1.692000           0.961280           5.063900           5.356800           5.625700           6.364300
  28.600	           6.704500           7.679300           4.800300           5.909300           6.527900           1.650600           1.705700           0.975800           4.917400           5.205200           5.469900           6.200000
  28.800	           6.504000           7.458900           4.846300           5.961500           6.584900           1.663900           1.719100           0.990460           4.773700           5.056400           5.317300           6.038900
  29.000	           6.307700           7.243200           4.888500           6.009200           6.637100           1.676900           1.732000           1.005300           4.632900           4.910800           5.167800           5.881400
  29.200	           6.115800           7.032600           4.927100           6.052500           6.684500           1.689500           1.744600           1.020200           4.495300           4.768400           5.021800           5.727400
  29.400	           5.928600           6.827100           4.962000           6.091200           6.727200           1.701700           1.756700           1.035200           4.360900           4.629500           4.879300           5.577200
  29.600	           5.746200           6.627100           4.993500           6.125700           6.765200           1.713400           1.768300           1.050400           4.229900           4.494100           4.740500           5.431000
  29.800	           5.568900           6.432800           5.021600           6.155900           6.798700           1.724700           1.779500           1.065600           4.102500           4.362500           4.605500           5.288700
  30.000	           5.396700           6.244200           5.046200           6.181800           6.827700           1.735400           1.790200           1.081000           3.978700           4.234700           4.474400           5.150700
  30.200	           5.230000           6.061600           5.067700           6.203700           6.852300           1.745700           1.800400           1.096400           3.858800           4.110800           4.347500           5.016900
  30.400	           5.068800           5.885200           5.085900           6.221600           6.872500           1.755400           1.810000           1.111900           3.742700           3.991000           4.224700           4.887500
  30.600	           4.913300           5.715000           5.101000           6.235600           6.888600           1.764600           1.819100           1.127500           3.630600           3.875300           4.106100           4.762500
  30.800	           4.763600           5.551200           5.113100           6.245800           6.900400           1.773200           1.827500           1.143100           3.522600           3.763900           3.991900           4.642000
  31.000	           4.619700           5.393800           5.122300           6.252200           6.908300           1.781200           1.835400           1.158700           3.418700           3.656700           3.882100           4.526200
  31.200	           4.481900           5.243000           5.128700           6.255100           6.912100           1.788600           1.842700           1.174400           3.318900           3.553900           3.776800           4.414900
  31.400	           4.350000           5.098900           5.132300           6.254500           6.912100           1.795400           1.849400           1.190100           3.223400           3.455500           3.675900           4.308400
  31.600	           4.224300           4.961300           5.133300           6.250400           6.908400           1.801600           1.855400           1.205700           3.132200           3.361500           3.579600           4.206500
  31.800	           4.104700           4.830500           5.131700           6.243100           6.901000           1.807100           1.860800           1.221400           3.045300           3.271900           3.487800           4.109300
  32.000	           3.991200           4.706400           5.127600           6.232500           6.890000           1.812000           1.865500           1.237000           2.962700           3.186800           3.400600           4.016900
  32.200	           3.883900           4.589000           5.121100           6.218900           6.875600           1.816200           1.869600           1.252600           2.884500           3.106200           3.318000           3.929200
  32.400	           3.782800           4.478400           5.112300           6.202200           6.857800           1.819800           1.872900           1.268200           2.810500           3.030100           3.239900           3.846100
  32.600	           3.687800           4.374300           5.101300           6.182700           6.836700           1.822600           1.875600           1.283600           2.740900           2.958400           3.166400           3.767800
  32.800	           3.598900           4.276900           5.088100           6.160300           6.812500           1.824800           1.877600           1.299000           2.675600           2.891100           3.097400           3.694100
  33.000	           3.516000           4.186100           5.072800           6.135300           6.785200           1.826300           1.878800           1.314300           2.614500           2.828200           3.032900           3.625000
  33.200	           3.439200           4.101800           5.055500           6.107600           6.755000           1.827000           1.879400           1.329500           2.557600           2.769700           2.972800           3.560400
  33.400	           3.368300           4.023800           5.036300           6.077400           6.721800           1.827100           1.879200           1.344600           2.505000           2.715500           2.917000           3.500300
  33.600	           3.303200           3.952200           5.015200           6.044800           6.685900           1.826400           1.878300           1.359500           2.456400           2.665500           2.865600           3.444700
  33.800	           3.243900           3.886800           4.992300           6.009800           6.647300           1.825000           1.876700           1.374300           2.411900           2.619700           2.818500           3.393400
  34.000	           3.190300           3.827500           4.967700           5.972600           6.606000           1.822900           1.874400           1.388900           2.371400           2.578000           2.775500           3.346300
  34.200	           3.142200           3.774200           4.941400           5.933200           6.562300           1.820100           1.871300           1.403400           2.334800           2.540300           2.736600           3.303400
  34.400	           3.099500           3.726600           4.913400           5.891700           6.516100           1.816600           1.867600           1.417600           2.302000           2.506500           2.701700           3.264600
  34.600	           3.062100           3.684800           4.883900           5.848200           6.467600           1.812400           1.863100           1.431600           2.273000           2.476600           2.670700           3.229800
  34.800	           3.029800           3.648400           4.852800           5.802700           6.416700           1.807400           1.857900           1.445400           2.247600           2.450400           2.643500           3.198800
