detID,e,z,Ex,rdtID,de,e,rdte,tde,te,trdte,coinTime,thetaCM,target
6,5.21096,-379.66,4.59235,3,1138.86,2010.47,2912.37,709.809,2036.74,2711.13,-14.8025,26.6231,3
4,4.95886,-195.248,7.99976,1,1333.26,2070.26,2860.54,1322.87,2058.94,2856.06,10.4675,31.5858,3
29,8.97658,-173.028,4.20451,1,1206.51,nan,nan,1201.61,nan,nan,20.7824,40.5539,0
3,5.85615,-268.924,5.81554,1,1132.5,3491.38,3945.3,1135.14,3479.89,3952.25,8.27434,31.7353,1
26,3.6709,-360.084,6.50642,5,3033.63,nan,nan,3430.03,nan,nan,-19.1572,22.2563,0
9,1.14692,-213.027,11.5876,5,2236.05,nan,nan,2535.97,nan,nan,-36.6205,13.8819,0
24,1.62893,-200.137,11.3392,1,1693.11,2202.92,3298.32,1696.48,2190.01,3304.66,30.9297,17.9725,0
29,2.6776,-175.19,10.7,7,1969.51,1916.94,3312.5,1971.5,1914.63,3312.2,37.4846,24.3218,0
0,3.60137,-415.522,5.61836,1,1122.92,3178.08,3658.29,1115.53,3169.73,3659.12,-3.66053,19.8791,0
28,3.2664,-233.258,9.09912,5,1806.36,nan,nan,2049.17,nan,nan,13.1693,24.9721,0
3,4.74755,-265.307,7.02407,1,1073.51,3524.29,3922.11,1077.23,3514.55,3931.58,3.30581,28.9175,1
