z,0,1,2,3,4,5,6,7,8,9,10,11
-347.000000,8.248446,7.524227,6.615029,6.015395,5.559079,5.225083,4.837283,4.128414,4.011401,3.129312,2.969838,2.162723
-346.000000,8.265551,7.541350,6.632203,6.032614,5.576348,5.242397,4.854633,4.145899,4.028942,3.147183,2.987854,2.181910
-345.000000,8.282655,7.558474,6.649370,6.049833,5.593595,5.259705,4.871984,4.163384,4.046429,3.165006,3.005771,2.200971
-344.000000,8.299760,7.575598,6.666538,6.067052,5.610842,5.276983,4.889334,4.180870,4.063913,3.182829,3.023687,2.220033
-343.000000,8.316864,7.592722,6.683705,6.084270,5.628089,5.294261,4.906684,4.198355,4.081397,3.200652,3.041604,2.239094
-342.000000,8.333969,7.609846,6.700873,6.101489,5.645336,5.311539,4.924034,4.215823,4.098880,3.218476,3.059520,2.257928
-341.000000,8.351067,7.626970,6.718040,6.118708,5.662583,5.328817,4.941370,4.233256,4.116364,3.236299,3.077437,2.276740
-340.000000,8.368153,7.644094,6.735207,6.135927,5.679830,5.346095,4.958681,4.250689,4.133848,3.254074,3.095307,2.295552
-339.000000,8.385239,7.661218,6.752375,6.153141,5.697077,5.363373,4.975992,4.268123,4.151332,3.271810,3.113126,2.314362
-338.000000,8.402325,7.678342,6.769542,6.170332,5.714324,5.380651,4.993304,4.285556,4.168812,3.289545,3.130945,2.332961
-337.000000,8.419412,7.695466,6.786710,6.187523,5.731571,5.397929,5.010615,4.302990,4.186244,3.307281,3.148764,2.351560
-336.000000,8.436498,7.712590,6.803877,6.204714,5.748818,5.415207,5.027926,4.320423,4.203676,3.325017,3.166582,2.370159
-335.000000,8.453584,7.729714,6.821045,6.221906,5.766055,5.432485,5.045237,4.337857,4.221108,3.342753,3.184401,2.388758
-334.000000,8.470670,7.746829,6.838212,6.239097,5.783272,5.449737,5.062548,4.355288,4.238540,3.360468,3.202173,2.407199
-333.000000,8.487756,7.763933,6.855363,6.256288,5.800490,5.466983,5.079859,4.372675,4.255972,3.378127,3.219905,2.425615
-332.000000,8.504842,7.781037,6.872507,6.273479,5.817707,5.484228,5.097171,4.390062,4.273404,3.395785,3.237637,2.444030
