#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 2.00) ELAB= 24.000
#16N(d,t)15N(1/2- 4.00) ELAB= 24.000
#16N(d,t)15N(1/2- 6.00) ELAB= 24.000
   Angel	   Ex=0.00(0d5/2)Kx   Ex=0.00(1s1/2)Kx   Ex=2.00(0d5/2)Kx   Ex=4.00(0d5/2)Kx   Ex=6.00(0d5/2)Kx
 116.000	           0.002288           0.003697           0.003704           0.007517           0.012633
 116.500	           0.002203           0.003815           0.003515           0.007132           0.012085
 117.000	           0.002124           0.003920           0.003341           0.006769           0.011556
 117.500	           0.002050           0.004011           0.003182           0.006427           0.011046
 118.000	           0.001982           0.004087           0.003035           0.006107           0.010555
 118.500	           0.001919           0.004148           0.002902           0.005808           0.010085
 119.000	           0.001861           0.004195           0.002780           0.005529           0.009636
 119.500	           0.001807           0.004228           0.002670           0.005270           0.009208
 120.000	           0.001757           0.004248           0.002571           0.005031           0.008802
 120.500	           0.001711           0.004255           0.002482           0.004811           0.008418
 121.000	           0.001668           0.004250           0.002402           0.004609           0.008056
 121.500	           0.001629           0.004235           0.002330           0.004424           0.007715
 122.000	           0.001593           0.004209           0.002266           0.004255           0.007396
 122.500	           0.001559           0.004176           0.002210           0.004102           0.007098
 123.000	           0.001529           0.004134           0.002159           0.003964           0.006821
 123.500	           0.001500           0.004086           0.002115           0.003839           0.006564
 124.000	           0.001474           0.004031           0.002075           0.003727           0.006326
 124.500	           0.001449           0.003971           0.002040           0.003627           0.006108
 125.000	           0.001427           0.003907           0.002009           0.003538           0.005907
 125.500	           0.001405           0.003837           0.001981           0.003458           0.005724
 126.000	           0.001386           0.003764           0.001956           0.003388           0.005557
 126.500	           0.001367           0.003687           0.001933           0.003325           0.005406
 127.000	           0.001349           0.003607           0.001912           0.003270           0.005269
 127.500	           0.001332           0.003524           0.001893           0.003221           0.005146
 128.000	           0.001316           0.003436           0.001875           0.003178           0.005036
 128.500	           0.001301           0.003346           0.001857           0.003140           0.004937
 129.000	           0.001286           0.003252           0.001840           0.003106           0.004850
 129.500	           0.001271           0.003155           0.001823           0.003074           0.004772
 130.000	           0.001257           0.003054           0.001806           0.003046           0.004703
 130.500	           0.001243           0.002950           0.001788           0.003020           0.004642
 131.000	           0.001229           0.002842           0.001770           0.002996           0.004588
 131.500	           0.001215           0.002730           0.001752           0.002972           0.004541
 132.000	           0.001201           0.002616           0.001732           0.002949           0.004499
 132.500	           0.001187           0.002498           0.001712           0.002927           0.004462
 133.000	           0.001173           0.002377           0.001691           0.002904           0.004429
 133.500	           0.001159           0.002255           0.001669           0.002880           0.004399
 134.000	           0.001144           0.002130           0.001646           0.002856           0.004371
 134.500	           0.001130           0.002005           0.001622           0.002831           0.004346
 135.000	           0.001116           0.001878           0.001598           0.002805           0.004321
 135.500	           0.001101           0.001753           0.001572           0.002777           0.004298
 136.000	           0.001087           0.001628           0.001546           0.002748           0.004275
 136.500	           0.001072           0.001506           0.001519           0.002717           0.004252
 137.000	           0.001058           0.001386           0.001491           0.002685           0.004228
 137.500	           0.001043           0.001270           0.001463           0.002651           0.004204
 138.000	           0.001029           0.001159           0.001434           0.002615           0.004179
 138.500	           0.001015           0.001053           0.001405           0.002578           0.004152
 139.000	           0.001001           0.000953           0.001376           0.002539           0.004124
 139.500	           0.000987           0.000859           0.001347           0.002498           0.004094
 140.000	           0.000973           0.000772           0.001318           0.002456           0.004063
 140.500	           0.000959           0.000691           0.001288           0.002413           0.004029
 141.000	           0.000946           0.000618           0.001259           0.002368           0.003994
 141.500	           0.000933           0.000551           0.001231           0.002322           0.003956
 142.000	           0.000921           0.000491           0.001202           0.002275           0.003917
 142.500	           0.000908           0.000438           0.001174           0.002228           0.003876
 143.000	           0.000897           0.000391           0.001147           0.002179           0.003833
 143.500	           0.000885           0.000350           0.001121           0.002131           0.003788
 144.000	           0.000874           0.000315           0.001095           0.002081           0.003742
 144.500	           0.000863           0.000284           0.001069           0.002032           0.003694
 145.000	           0.000853           0.000258           0.001045           0.001982           0.003644
 145.500	           0.000843           0.000237           0.001022           0.001932           0.003594
 146.000	           0.000834           0.000219           0.000999           0.001883           0.003542
 146.500	           0.000825           0.000205           0.000978           0.001834           0.003489
 147.000	           0.000816           0.000194           0.000957           0.001786           0.003436
 147.500	           0.000808           0.000187           0.000937           0.001738           0.003381
 148.000	           0.000801           0.000182           0.000919           0.001691           0.003327
 148.500	           0.000794           0.000179           0.000901           0.001645           0.003272
 149.000	           0.000787           0.000179           0.000884           0.001600           0.003217
 149.500	           0.000781           0.000182           0.000869           0.001556           0.003162
 150.000	           0.000775           0.000187           0.000854           0.001514           0.003107
 150.500	           0.000770           0.000195           0.000841           0.001472           0.003052
 151.000	           0.000765           0.000206           0.000828           0.001432           0.002998
 151.500	           0.000760           0.000219           0.000816           0.001394           0.002944
 152.000	           0.000756           0.000235           0.000805           0.001357           0.002891
 152.500	           0.000753           0.000254           0.000795           0.001322           0.002839
 153.000	           0.000749           0.000277           0.000786           0.001288           0.002787
 153.500	           0.000746           0.000302           0.000777           0.001256           0.002737
 154.000	           0.000744           0.000331           0.000770           0.001226           0.002687
 154.500	           0.000741           0.000362           0.000762           0.001197           0.002638
 155.000	           0.000739           0.000397           0.000756           0.001170           0.002591
 155.500	           0.000737           0.000434           0.000750           0.001145           0.002544
 156.000	           0.000736           0.000473           0.000745           0.001122           0.002499
 156.500	           0.000734           0.000515           0.000740           0.001100           0.002455
 157.000	           0.000733           0.000558           0.000736           0.001080           0.002411
 157.500	           0.000732           0.000602           0.000732           0.001062           0.002369
 158.000	           0.000730           0.000646           0.000729           0.001045           0.002328
 158.500	           0.000729           0.000690           0.000726           0.001030           0.002288
 159.000	           0.000728           0.000733           0.000723           0.001016           0.002248
 159.500	           0.000727           0.000776           0.000721           0.001004           0.002210
 160.000	           0.000726           0.000816           0.000719           0.000993           0.002173
 160.500	           0.000724           0.000855           0.000717           0.000984           0.002136
 161.000	           0.000723           0.000891           0.000715           0.000976           0.002101
 161.500	           0.000722           0.000925           0.000713           0.000969           0.002066
 162.000	           0.000720           0.000956           0.000712           0.000964           0.002031
 162.500	           0.000718           0.000986           0.000710           0.000959           0.001998
 163.000	           0.000716           0.001013           0.000709           0.000956           0.001965
 163.500	           0.000715           0.001039           0.000708           0.000953           0.001933
 164.000	           0.000713           0.001064           0.000706           0.000951           0.001901
 164.500	           0.000710           0.001088           0.000705           0.000951           0.001870
 165.000	           0.000708           0.001112           0.000704           0.000951           0.001839
 165.500	           0.000706           0.001136           0.000703           0.000951           0.001809
 166.000	           0.000703           0.001161           0.000702           0.000952           0.001779
 166.500	           0.000701           0.001187           0.000701           0.000954           0.001749
 167.000	           0.000698           0.001216           0.000700           0.000956           0.001721
 167.500	           0.000695           0.001246           0.000699           0.000959           0.001692
 168.000	           0.000693           0.001279           0.000698           0.000962           0.001664
 168.500	           0.000690           0.001314           0.000697           0.000965           0.001637
 169.000	           0.000687           0.001352           0.000696           0.000968           0.001610
 169.500	           0.000684           0.001393           0.000695           0.000972           0.001584
 170.000	           0.000681           0.001437           0.000694           0.000976           0.001558
 170.500	           0.000679           0.001483           0.000693           0.000979           0.001533
 171.000	           0.000676           0.001531           0.000692           0.000983           0.001509
 171.500	           0.000673           0.001582           0.000691           0.000987           0.001486
 172.000	           0.000670           0.001634           0.000690           0.000991           0.001463
 172.500	           0.000668           0.001688           0.000689           0.000994           0.001442
 173.000	           0.000665           0.001743           0.000689           0.000998           0.001421
 173.500	           0.000663           0.001799           0.000688           0.001001           0.001401
 174.000	           0.000661           0.001855           0.000687           0.001005           0.001383
 174.500	           0.000658           0.001910           0.000687           0.001008           0.001366
 175.000	           0.000656           0.001965           0.000686           0.001011           0.001350
 175.500	           0.000654           0.002017           0.000686           0.001013           0.001335
 176.000	           0.000653           0.002067           0.000685           0.001016           0.001322
 176.500	           0.000651           0.002113           0.000685           0.001018           0.001310
 177.000	           0.000650           0.002155           0.000685           0.001020           0.001299
 177.500	           0.000648           0.002192           0.000684           0.001021           0.001290
 178.000	           0.000647           0.002223           0.000684           0.001023           0.001283
 178.500	           0.000647           0.002248           0.000684           0.001024           0.001277
 179.000	           0.000646           0.002266           0.000684           0.001025           0.001273
 179.500	           0.000646           0.002278           0.000684           0.001025           0.001271
 180.000	           0.000646           0.002281           0.000684           0.001025           0.001270
